Borough,zipcode,City,highschool_graduation_rate,College Enrollment Rate,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude
Brooklyn,11207, BROOKLYN,72.0,26.0,51643,True,False,40.6669551,-73.89494119999999
Brooklyn,11207, BROOKLYN,52.0,25.0,51643,False,False,40.6669551,-73.89494119999999
Brooklyn,11207, BROOKLYN,71.0,34.0,51643,True,False,40.6669551,-73.89494119999999
Brooklyn,11207, BROOKLYN,58.0,48.0,51643,False,False,40.6669551,-73.89494119999999
Brooklyn,11208, BROOKLYN,44.0,18.0,50726,False,False,40.692915,-73.8690129
Brooklyn,11208, BROOKLYN,64.0,37.0,50726,False,False,40.6788665,-73.8753066
Brooklyn,11208, BROOKLYN,67.0,48.0,50726,False,False,40.692915,-73.8690129
Brooklyn,11208, BROOKLYN,53.0,27.0,50726,False,False,40.692915,-73.8690129
Brooklyn,11208, BROOKLYN,50.0,31.0,50726,False,False,40.692915,-73.8690129
Brooklyn,11207, BROOKLYN,50.0,26.0,51643,False,False,40.6738372,-73.8960768
Brooklyn,11208, BROOKLYN,84.0,39.0,50726,True,False,40.6698815,-73.87434189999999
Brooklyn,11214, BROOKLYN,70.0,54.0,64478,True,True,40.6131868,-74.0023923
Brooklyn,11220, BROOKLYN,87.0,70.0,47150,True,True,40.63679140000001,-74.0233105
Brooklyn,11209, BROOKLYN,68.0,58.0,101737,False,True,40.6272269,-74.03937599999999
Brooklyn,11204, BROOKLYN,58.0,49.0,58848,False,False,40.6215839,-73.98231419999999
Brooklyn,11204, BROOKLYN,95.0,50.0,58848,True,False,40.6349179,-73.9824083
Brooklyn,11214, BROOKLYN,61.0,41.0,64478,False,False,40.5937576,-73.9863546
Brooklyn,11224, BROOKLYN,70.0,61.0,43584,True,True,40.58270270000001,-73.9723072
Brooklyn,11214, BROOKLYN,83.0,40.0,64478,True,False,40.5937576,-73.9863546
Brooklyn,11235, BROOKLYN,69.0,52.0,71542,True,True,40.5828631,-73.9682183
Brooklyn,11214, BROOKLYN,93.0,86.0,64478,True,True,40.5937576,-73.9863546
Brooklyn,11230, BROOKLYN,81.0,67.0,66240,True,True,40.6195422,-73.9589429
Brooklyn,11223, BROOKLYN,79.0,56.0,65254,True,True,40.5877456,-73.9813501
Brooklyn,11214, BROOKLYN,92.0,40.0,64478,True,False,40.5937576,-73.9863546
Brooklyn,11214, BROOKLYN,81.0,64.0,64478,True,True,40.5937576,-73.9863546
Brooklyn,11235, BROOKLYN,57.0,27.0,71542,False,False,40.5829591,-73.96344289999999
Brooklyn,11214, BROOKLYN,78.0,55.0,64478,True,True,40.6048465,-73.9947464
Brooklyn,11210, BROOKLYN,89.0,74.0,80453,True,True,40.6331465,-73.9523633
Brooklyn,11229, BROOKLYN,76.0,63.0,81481,True,True,40.6106252,-73.94737099999999
Brooklyn,11235, BROOKLYN,96.0,91.0,71542,True,True,40.5807237,-73.93502099999999
Brooklyn,11218, BROOKLYN,99.0,90.0,80422,True,True,40.6492022,-73.9718961
Brooklyn,11233, BROOKLYN,56.0,40.0,48545,False,False,40.67451399999999,-73.9132942
Brooklyn,11212, BROOKLYN,53.0,37.0,41115,False,False,40.6654883,-73.91205409999999
Brooklyn,11212, BROOKLYN,67.0,47.0,41115,False,False,40.6654883,-73.91205409999999
Queens,11101, QUEENS,91.0,73.0,82636,True,True,40.7449019,-73.9368178
Queens,11101, QUEENS,70.0,52.0,82636,False,False,40.7449019,-73.9368178
Queens,11373, QUEENS,80.0,81.0,58918,True,True,40.7434324,-73.8714707
Queens,11373, QUEENS,50.0,27.0,58918,False,False,40.7434324,-73.8714707
Queens,11101, QUEENS,99.0,86.0,82636,True,True,40.7449019,-73.9368178
